DonorItemID,DonorID,ItemID,DonationDate,QuantityDonated
111,24,95,2/26/2025,28
112,4,413,1/22/2025,45
113,19,474,5/23/2024,76
114,41,10,2/20/2025,64
115,5,999,10/2/2024,30
116,1,871,2/3/2025,78
117,42,834,9/20/2024,13
118,42,991,8/13/2024,2
119,36,489,11/18/2024,74
120,23,565,1/11/2025,45
121,7,559,6/23/2024,24
122,14,783,11/29/2024,84
123,21,15,8/4/2024,24
124,38,815,2/27/2025,64
125,42,908,8/23/2024,71
126,42,730,11/26/2024,23
127,23,520,3/28/2024,64
128,46,48,3/10/2024,72
129,25,739,4/23/2024,72
130,17,442,7/13/2024,25
131,5,581,5/5/2024,16
132,2,593,8/11/2024,77
133,16,381,1/13/2025,10
134,27,888,12/27/2024,21
135,13,289,11/8/2024,85
136,50,268,7/30/2024,30
137,11,145,8/3/2024,76
138,35,484,4/6/2024,90
139,35,75,11/22/2024,88
140,41,801,8/14/2024,54
141,7,293,1/30/2025,2
142,8,702,1/30/2025,86
143,36,780,10/9/2024,1
144,39,101,7/20/2024,4
145,24,639,7/16/2024,95
146,44,752,6/21/2024,74
147,15,799,9/25/2024,28
148,26,956,3/30/2024,8
149,2,762,9/27/2024,68
150,16,732,9/21/2024,92
151,25,29,10/20/2024,93
152,4,235,9/17/2024,41
153,10,258,10/20/2024,29
154,23,71,10/8/2024,54
155,45,304,6/8/2024,34
156,13,341,2/8/2025,39
157,23,746,2/9/2025,59
158,49,950,3/22/2024,56
159,24,525,11/19/2024,70
160,47,249,11/4/2024,36
161,47,966,1/29/2025,41
162,15,388,5/28/2024,29
163,28,547,9/25/2024,3
164,48,640,10/5/2024,10
165,2,242,12/26/2024,41
166,13,257,1/8/2025,61
167,4,118,12/14/2024,60
168,47,158,10/24/2024,28
169,48,296,5/20/2024,47
170,34,793,3/18/2024,6
171,45,822,10/2/2024,72
172,44,453,5/28/2024,89
173,23,294,6/6/2024,51
174,34,953,8/29/2024,26
175,35,713,1/6/2025,18
176,26,417,10/19/2024,76
177,14,173,11/18/2024,21
178,3,838,8/10/2024,97
179,26,111,9/20/2024,86
180,12,955,10/20/2024,90
181,24,239,2/4/2025,77
182,34,319,7/20/2024,86
183,33,982,4/6/2024,74
184,17,498,6/12/2024,94
185,49,20,9/28/2024,48
186,41,108,3/22/2024,90
187,46,222,6/28/2024,71
188,50,204,3/5/2024,50
189,21,507,6/6/2024,45
190,37,688,9/28/2024,7
191,35,53,4/26/2024,53
192,34,705,2/19/2025,40
193,32,215,6/11/2024,97
194,33,645,7/23/2024,81
195,20,330,6/11/2024,31
196,20,963,5/6/2024,49
197,14,124,5/6/2024,65
198,50,355,12/15/2024,29
199,33,459,3/30/2024,12
200,28,180,2/22/2025,68
201,27,305,9/14/2024,81
202,11,750,8/28/2024,97
203,10,109,4/23/2024,84
204,18,444,2/17/2025,92
205,41,550,4/9/2024,23
206,14,207,8/28/2024,14
207,33,279,9/20/2024,51
208,41,246,3/8/2024,24
209,25,978,5/17/2024,55
210,18,306,2/19/2025,89
211,34,635,9/15/2024,63
212,24,632,4/25/2024,85
213,42,510,3/17/2024,42
214,1,267,7/9/2024,25
215,31,510,11/16/2024,16
216,14,258,8/20/2024,12
217,25,508,4/20/2024,9
218,49,43,10/18/2024,76
219,8,425,7/15/2024,55
220,35,556,12/18/2024,70
221,21,137,5/11/2024,94
222,26,609,7/1/2024,87
223,38,506,1/4/2025,16
224,45,284,10/6/2024,85
225,19,814,12/19/2024,36
226,32,531,2/23/2025,47
227,20,455,5/9/2024,38
228,44,650,4/8/2024,54
229,34,28,1/24/2025,87
230,34,560,6/23/2024,67
231,38,108,10/18/2024,55
232,35,413,10/19/2024,49
233,35,667,11/26/2024,16
234,5,571,10/29/2024,46
235,9,565,5/18/2024,51
236,5,806,7/26/2024,10
237,13,65,2/3/2025,90
238,2,847,5/8/2024,86
239,40,911,12/30/2024,97
240,5,592,11/8/2024,21
241,36,198,8/21/2024,95
242,41,453,7/29/2024,35
243,11,75,3/15/2024,26
244,25,724,5/1/2024,53
245,24,570,1/14/2025,34
246,16,400,9/9/2024,33
247,26,410,4/6/2024,99
248,9,321,9/18/2024,66
249,13,972,6/7/2024,36
250,29,652,4/5/2024,36
251,19,454,3/31/2024,40
252,2,491,12/2/2024,80
253,29,75,4/26/2024,68
254,46,293,2/10/2025,2
255,36,71,12/9/2024,26
256,36,14,11/29/2024,17
257,18,446,12/12/2024,32
258,33,181,12/15/2024,70
259,24,564,6/30/2024,50
260,9,272,12/25/2024,90
261,18,494,1/25/2025,7
262,47,916,5/5/2024,13
263,2,608,4/7/2024,85
264,49,687,7/22/2024,73
265,22,994,3/21/2024,94
266,40,488,3/21/2024,7
267,8,143,1/10/2025,68
268,30,677,8/7/2024,80
269,31,378,7/26/2024,36
270,48,360,1/4/2025,12
271,8,82,7/13/2024,89
272,45,225,8/3/2024,46
273,47,945,1/10/2025,18
274,42,574,8/13/2024,100
275,31,942,1/16/2025,13
276,3,756,9/23/2024,63
277,11,131,3/10/2024,67
278,14,361,9/18/2024,77
279,9,212,11/29/2024,49
280,37,761,9/11/2024,96
281,13,478,10/19/2024,59
282,37,699,3/19/2024,53
283,15,426,8/28/2024,41
284,22,396,5/27/2024,13
285,3,912,5/4/2024,36
286,33,845,7/6/2024,25
287,7,426,2/3/2025,57
288,14,154,2/17/2025,52
289,35,133,5/25/2024,3
290,19,660,7/5/2024,20
291,49,493,5/7/2024,4
292,39,992,5/30/2024,93
293,9,934,10/4/2024,89
294,19,921,1/11/2025,100
295,20,270,11/21/2024,77
296,43,246,6/13/2024,83
297,46,31,9/1/2024,12
298,30,404,6/4/2024,3
299,5,187,10/31/2024,44
300,1,301,5/7/2024,9
